area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,26958.3
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,82800
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2,3,42780
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,65550
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2,1,35190
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,26220
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,,140760
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,414000
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,43642.5
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6,,255300
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,48300
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,203550
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,26220
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,27600
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,102120
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,50715
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,33120
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,41400
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,200100
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,33120
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1,1,10350
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,84180
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,262200
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3,1,71070
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,17422.5
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3,2,38640
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,15939
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3,2,55890
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,33651.3
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,32430
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,128340
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,24150
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,84870
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,39599.1
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,,86250
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,24840
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2,1,31395
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,86250
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2,2,38722.8
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2,2,31050
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,,55890
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,26220
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,26220
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1,0,33120
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2,2,63335.1
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9,,138000
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,22770
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,65425.8
